disease_1,disease_2,edge_weight
C1852093,C0011880,0.012903228000000001
C1852093,C1852092,0.028571436000000002
C1852093,C0034091,0.00769231
C1852093,C0342277,0.057142872000000004
C1852093,C1852093,0.020000005
C1852093,C0007785,0.028571436000000002
C1852093,C2678338,0.010526318
C1852093,C0020481,0.08000002
C1852093,C0002876,0.0018867929999999999
C1852093,C0020474,0.100000024
C1852093,C0740302,0.066666685
C1852093,C2675512,0.025000006
C1852093,C1853371,0.016666671
C1852093,C1853297,0.011111113999999998
C1852093,C0272052,0.04000001
C1852093,C2675866,0.08000002
C1852093,C1864623,0.012500003
C1852093,C0032463,0.100000024
C1852093,C2930930,0.007407409
C1852093,C1857775,0.010526318
C1852093,C2677132,0.004761906
C1852093,C2931384,0.010000003
C1852093,C2675192,0.022222227999999997
C0007785,C1863512,0.014285718000000001
C0007785,C1306856,0.025000006
C0431693,C0011880,0.0058823545
C0431693,C0011880,0.0037735859999999998
C0431693,C1852092,0.011764709
C0431693,C0034091,0.005405406999999999
C0431693,C0342277,0.0058823545
C0431693,C0007785,0.0043478273
C0431693,C0431693,0.012500003
C0431693,C2678338,0.0030075195
C0431693,C1838100,0.012903228000000001
C0431693,C2675212,0.012121215
C0431693,C1969343,0.005714286999999999
C0431693,C1863512,0.005128206
C0431693,C1838457,0.0044444455
C0431693,C1853297,0.0062500015
C0431693,C0272052,0.012500003
C0431693,C1266144,0.009836068
C0431693,C2675866,0.0046511637
C0431693,C1837915,0.012903228000000001
C0431693,C0032463,0.0037037046
C0431693,C1836861,0.0043478273
C0431693,C1857775,0.0028985515000000002
C0431693,C1833104,0.0037037046
C0431693,C1843687,0.00425532
C0431693,C2931384,0.005555556999999999
C2678338,C0011880,0.007407409
C2678338,C1852092,0.036363646
C2678338,C2678338,0.025000006
C2678338,C0020481,0.013333336999999999
C2678338,C0020474,0.044444457
C2678338,C1833382,0.012500003
C2678338,C1853297,0.022222227999999997
C2678338,C0272052,0.005714286999999999
C2678338,C1837915,0.013333336999999999
C2678338,C2930930,0.010000003
C2678338,C1836861,0.012500003
C2678338,C1864839,0.0046511637
C2678338,C0152264,0.100000024
C2678338,C2677132,0.011764709
C2678338,C0340968,0.0071428590000000005
C2678338,C1833104,0.005714286999999999
C2678338,C0027051,0.009523812
C2678338,C1843687,0.033333343
C2678338,C2931384,0.028571436000000002
C2678338,C1306856,0.016666671
C0020481,C2674218,0.0068965536
C0020481,C0011880,0.020000005
C0020481,C0011880,0.01538462
C0020481,C1852092,0.04000001
C0020481,C0342277,0.009090912
C0020481,C1852093,0.025000006
C0020481,C0007785,0.0018348626999999998
C0020481,C0431693,0.020000005
C0020481,C0020481,0.028571436000000002
C0020481,C0002876,0.022222227999999997
C0020481,C0020474,0.018181823
C0020481,C1833382,0.013333336999999999
C0020481,C2675512,0.009523812
C0020481,C1838457,0.025000006
C0020481,C1853297,0.025000006
C0020481,C0272052,0.010526318
C0020481,C1266144,0.028571436000000002
C0020481,C1837915,0.0066666686999999995
C0020481,C0006277,0.009090912
C0020481,C2930930,0.011111113999999998
C0020481,C1836861,0.0044444455
C0020481,C0221018,0.008695655
C0020481,C1843687,0.016666671
C0002876,C2674218,0.0068965536
C0002876,C0011880,0.031250007
C0002876,C0011880,0.0068965536
C0002876,C0034091,0.0048780496999999996
C0002876,C0342277,0.007407409
C0002876,C1852093,0.0062500015
C0002876,C0007785,0.0068965536
C0002876,C0431693,0.011111113999999998
C0002876,C2678338,0.00769231
C0002876,C0020481,0.0071428590000000005
C0002876,C1838100,0.013333336999999999
C0002876,C2675212,0.0066666686999999995
C0002876,C0740302,0.005405406999999999
C0002876,C1969343,0.0058823545
C0002876,C1833382,0.010000003
C0002876,C1863512,0.007407409
C0002876,C1838457,0.013333336999999999
C0002876,C1853371,0.007407409
C0002876,C1853297,0.010714288999999998
C0002876,C0004096,0.010526318
C0002876,C0272052,0.00769231
C0002876,C1266144,0.027777785
C0002876,C2675866,0.0040816334000000004
C0002876,C0032463,0.009756099
C0002876,C0006277,0.016216218
