disease_1,disease_2,edge_weight
DOID:1837,DOID:9351,0.018181823
DOID:1837,DOID:1837,0.022222227999999997
DOID:1837,DOID:0110741,0.022222227999999997
DOID:1837,DOID:0111100,0.005555556999999999
DOID:1837,DOID:6713,0.016666671
DOID:1837,DOID:0111101,0.0064516140000000005
DOID:1837,DOID:0110918,0.016666671
DOID:1837,DOID:1171,0.013333336999999999
DOID:1837,DOID:1338,0.016666671
DOID:1837,DOID:0110919,0.008333336
DOID:1837,DOID:13809,0.020000005
DOID:1837,DOID:0090016,0.0018018023
DOID:1837,DOID:1339,0.022222227999999997
DOID:1837,DOID:0090105,0.018181823
DOID:1837,DOID:0111105,0.01538462
DOID:1837,DOID:4769,0.011764709
DOID:1837,DOID:0110757,0.008695655
DOID:1837,DOID:0060334,0.020000005
DOID:1837,DOID:6132,0.020000005
DOID:1837,DOID:14221,0.005128206
DOID:1837,DOID:0111091,0.009523812
DOID:1837,DOID:0111106,0.022222227999999997
DOID:1837,DOID:0060652,0.025000006
DOID:1837,DOID:0060639,0.008333336
DOID:1837,DOID:5844,0.00425532
DOID:1837,DOID:13382,0.008000001
DOID:1837,DOID:0050554,0.014285718000000001
DOID:0110741,DOID:0110916,0.033333343
DOID:0110741,DOID:9351,0.050000012
DOID:0110741,DOID:1837,0.050000012
DOID:0110741,DOID:5453,0.0064516140000000005
DOID:0110741,DOID:0111099,0.028571436000000002
DOID:0110741,DOID:6713,0.00769231
DOID:0110741,DOID:0111101,0.028571436000000002
DOID:0110741,DOID:0110918,0.020000005
DOID:0110741,DOID:1171,0.028571436000000002
DOID:0110741,DOID:0111102,0.010526318
DOID:0110741,DOID:0110919,0.04000001
DOID:0110741,DOID:13809,0.0018867929999999999
DOID:0110741,DOID:0111103,0.050000012
DOID:0110741,DOID:1339,0.033333343
DOID:0110741,DOID:0111104,0.025000006
DOID:0110741,DOID:0111105,0.066666685
DOID:0110741,DOID:0050641,0.016666671
DOID:0110741,DOID:4769,0.011111113999999998
DOID:0110741,DOID:0060474,0.04000001
DOID:0110741,DOID:8997,0.04000001
DOID:0110741,DOID:14221,0.012500003
DOID:0110741,DOID:0111091,0.050000012
DOID:0110741,DOID:0060638,0.30741125
DOID:0110741,DOID:0111077,0.010526318
DOID:0110741,DOID:0060063,0.004761906
DOID:0110741,DOID:0111094,0.010000003
DOID:0110741,DOID:0111095,0.022222227999999997
DOID:5453,DOID:0110916,0.033333343
DOID:5453,DOID:9351,0.033333343
DOID:5453,DOID:0110741,0.0060606077
DOID:5453,DOID:0111100,0.022222227999999997
DOID:5453,DOID:0111099,0.0071428590000000005
DOID:5453,DOID:6713,0.022222227999999997
DOID:5453,DOID:0111101,0.016666671
DOID:5453,DOID:0110918,0.022222227999999997
DOID:5453,DOID:1338,0.019047624
DOID:5453,DOID:0111102,0.028571436000000002
DOID:5453,DOID:0110919,0.0018518523
DOID:5453,DOID:14557,0.033333343
DOID:5453,DOID:0111103,0.025000006
DOID:5453,DOID:0111089,0.020000005
