disease1,disease2
C1838100,C2678338
C1838100,C1838100
C1838100,C0740302
C1838100,C1969343
C1838100,C2675512
C1838100,C1838457
C1838100,C1853297
C1838100,C0004096
C1838100,C1266144
C1838100,C1864623
C1838100,C0006277
C1838100,C0340968
C1838100,C0221018
C2675212,C2674218
C2675212,C0011880
C2675212,C1852092
C2675212,C0034091
C2675212,C0007785
C2675212,C0431693
C2675212,C0020481
C2675212,C0002876
C2675212,C0020474
C2675212,C0740302
C2675212,C1833382
C2675212,C1863512
C2675212,C1838457
C2675212,C1853371
C2675212,C1853297
C2675212,C0004096
C2675212,C0272052
C2675212,C1266144
C2675212,C1837915
C2675212,C1864623
C2675212,C0032463
C2675212,C2930930
C2675212,C1864839
C2675212,C2677132
C2675212,C1833104
C0020474,C0011880
C0020474,C0011880
C0020474,C1852092
C0020474,C0034091
C0020474,C1852093
C0020474,C0007785
C0020474,C0020481
C0020474,C2675212
C0020474,C0020474
C0020474,C1969343
C0020474,C2675512
C0020474,C1838457
C0020474,C1853371
C0020474,C0004096
C0020474,C1266144
C0020474,C2675866
C0020474,C1864623
C0020474,C0152264
C0020474,C0340968
C0740302,C0011880
C0740302,C2675212
C1969343,C2674218
C1969343,C0011880
C1969343,C0034091
C1969343,C0342277
C1969343,C0431693
C1969343,C0002876
C1969343,C1838100
C1969343,C0020474
C1969343,C1969343
C1969343,C2675512
C1969343,C1863512
C1969343,C1853371
C1969343,C0272052
C1969343,C2675866
C1969343,C1864839
C1969343,C0152264
C1833382,C2674218
C1833382,C1852092
C1833382,C0034091
C1833382,C0007785
C1833382,C0020481
C1833382,C0002876
C1833382,C2675212
C1833382,C0740302
C1833382,C1833382
C1833382,C2675512
C1833382,C1838457
C1833382,C0004096
C1833382,C1266144
C1833382,C1836861
C1833382,C1857775
C2675512,C0011880
C2675512,C0011880
C2675512,C1852092
C2675512,C1852093
C2675512,C2678338
C2675512,C0020481
C2675512,C1838100
C2675512,C2675212
C2675512,C0020474
C2675512,C0740302
C2675512,C1969343
C2675512,C1833382
C2675512,C2675512
C2675512,C1863512
C2675512,C1838457
C2675512,C1853297
C2675512,C0272052
C2675512,C1837915
C2675512,C1864623
C2675512,C0032463
C2675512,C2930930
C2675512,C1864839
C2675512,C0152264
C1863512,C2674218
C1863512,C0034091
C1863512,C0007785
C1863512,C1838100
C1863512,C0020474
C1863512,C1833382
C1863512,C1853371
C1863512,C1853297
C1863512,C0004096
C1863512,C1266144
C1863512,C2675866
C1863512,C1837915
C1863512,C1864623
C1863512,C0006277
C1863512,C2930930
C1863512,C1864839
C1863512,C1857775
C1838457,C1852092
C1838457,C1852093
C1838457,C0007785
C1838457,C0002876
C1838457,C2675212
C1838457,C1969343
C1838457,C1833382
C1838457,C1838457
C1838457,C1853371
C1838457,C1853297
C1838457,C0272052
C1838457,C1266144
C1838457,C2675866
C1838457,C1837915
C1838457,C0032463
C1838457,C0006277
C1838457,C1836861
C1838457,C1864839
C1853371,C2674218
C1853371,C1852092
C1853371,C1852093
C1853371,C0007785
C1853371,C2678338
C1853371,C0002876
C1853371,C2675212
C1853371,C0020474
C1853371,C1969343
C1853371,C1863512
C1853371,C1853371
C1853371,C1864623
C1853371,C0006277
C1853297,C0011880
C1853297,C0342277
C1853297,C1852093
C1853297,C0431693
C1853297,C0020481
C1853297,C1838100
C1853297,C2675212
C1853297,C0740302
C1853297,C2675512
C1853297,C1838457
C1853297,C1837915
C1853297,C0032463
C0272052,C0011880
C0272052,C0007785
C0272052,C2678338
C0272052,C1838100
C0272052,C0020474
C0272052,C1969343
